Запрос,Частотность в мес.,Частотность в нед.,"Изменение мес/мес, %","Изменение нед/нед, %",Приоритетная категория,1 место,2 место,3 место,4 место,5 место,"Объем продаж категории, руб"
весенняя куртка женская,358 648,,,,(ID) 168 - Куртка,3770,3770,3770,3770,3770,
reebok,357 820
пенка для умывания,356 169,,,,(ID) 367 - Пенка,941,941,941,941,941,
бейсболка мужская,354 947,,,,(ID) 84 - Бейсболка Мужская,816,816,816,816,816,
конфеты,354 568,,,,(ID) 2884 - Конфеты,820,820,820,820,820,
горшок для цветов,353 970,,,,(ID) 870 - Кашпо,502,502,502,502,502,
парные браслеты,352 637
корзина для белья,351 750,,,,(ID) 1181 - Корзина Для Белья,902,902,902,902,902,
наушники проводные,351 271,,,,(ID) 593 - Наушники,841,841,841,841,841,
мицеллярная вода,350 413,,,,(ID) 1929 - Мицеллярная Вода,637,637,637,637,637,
чемодан,349 062,,,,(ID) 1161 - Чемодан,603,603,603,603,603,
кроссовки женские весна,348 574,,,,(ID) 105 - Кроссовки,424,424,424,424,424,
микроволновка,347 459
робот пылесос,345 566,,,,(ID) 2791 - Робот Пылесос,1565,1565,1565,1565,1565,
швабра с отжимом,344 833
резиновые сапоги детские,344 517,,,,(ID) 283 - Резиновые Сапоги Детские,1300,1300,1300,1300,1300,
шопер,344 459,,,,(ID) 2318 - Сумка хозяйственная,401,401,401,401,401,
шторы блэкаут,344 199,,,,(ID) 451 - Шторы интерьерные,1810,1810,1810,1810,1810,
sela девочки,342 645
наклейки для ногтей,342 463,,,,(ID) 457 - Декор для маникюра,748,748,748,748,748,
куртка мужская демисезонная,341 472,,,,(ID) 168 - Куртка,3770,3770,3770,3770,3770,
костюм для девочки,340 098,,,,(ID) 177 - Костюм,821,821,821,821,821,
чокер,339 669,,,,(ID) 1689 - Чокер,609,609,609,609,609,
свитшот мужской,339 031,,,,(ID) 159 - Свитшот,696,696,696,696,696,
косуха,338 256,,,,(ID) 2110 - Косуха,2069,2069,2069,2069,2069,
stone island,336 949
шкатулка для украшений,336 723,,,,(ID) 27 - Шкатулка Для Украшений,609,609,609,609,609,
корейская косметика,336 625,,,,(ID) 1526 - Маска тканевая косметическая,2090,2090,2090,2090,2090,
платья,334 472,,,,(ID) 69 - Платье,896,896,896,896,896,
ботильоны на каблуке,333 849,,,,(ID) 343 - Ботильоны,350,350,350,350,350,
feelz,333 811
зубная щетка,333 496,,,,(ID) 557 - Электрическая зубная щетка,365,365,365,365,365,
брюки палаццо,332 082,,,,(ID) 11 - Брюки,2000,2000,2000,2000,2000,
патчи,331 393,,,,(ID) 3356 - Патчи,965,965,965,965,965,
куртки женские весна,330 910,,,,(ID) 168 - Куртка,3769,3769,3769,3769,3769,
подушка,329 680,,,,(ID) 336 - Подушка,3719,3719,3719,3719,3719,
lego,329 547
палетка теней,328 555,,,,(ID) 346 - Тени,376,376,376,376,376,
джинсы для девочки,328 297,,,,(ID) 180 - Джинсы,704,704,704,704,704,
повербанк,328 162,,,,(ID) 468 - Повербанк,1600,1600,1600,1600,1600,
футболки мужские,327 506,,,,(ID) 192 - Футболки Мужские,1020,1020,1020,1020,1020,
набор косметики,327 373,,,,(ID) 403 - Косметический набор для ухода,870,870,870,870,870,
жилетка женская весна,327 352,,,,(ID) 156 - Жилет,712,712,712,712,712,
семена,327 287,,,,(ID) 2915 - Семена,499,499,499,499,499,
швабра,326 967,,,,(ID) 1594 - Швабра,918,918,918,918,918,
куртка демисезонная женская,326 374,,,,(ID) 168 - Куртка,3769,3769,3769,3769,3769,
gloria jeans для мальчиков,324 870
подарочный набор,324 761
брючный костюм женский,323 153,,,,(ID) 177 - Костюм,2652,2652,2652,2652,2652,
зеркало,321 760,,,,(ID) 1489 - Зеркало косметическое,302,302,302,302,302,
the act,319 796
футболка оверсайз женская,318 769,,,,(ID) 192 - Футболка,602,602,602,602,602,
босоножки на каблуке,318 740,,,,(ID) 93 - Босоножки,385,385,385,385,385,
домашний костюм женский,318 227,,,,(ID) 177 - Костюм,2239,2239,2239,2239,2239,
одежда,318 224
стул,317 570,,,,(ID) 1714 - Стул,1500,1500,1500,1500,1500,
толстовка мужская,317 565,,,,(ID) 233 - Толстовка,214,214,214,214,214,
косметичка женская,317 242,,,,(ID) 305 - Косметичка Женская,1505,1505,1505,1505,1505,
туалетная бумага,316 531,,,,(ID) 933 - Туалетная Бумага,921,921,921,921,921,
сапоги женские весна,316 333,,,,(ID) 99 - Сапоги,508,508,508,508,508,
geox,316 038
подводка,315 599,,,,(ID) 351 - Жидкая подводка,653,653,653,653,653,
одежда женская,315 291
mango женское,314 954
джоггеры мужские,314 798,,,,(ID) 11 - Брюки,2800,2800,2800,2800,2800,
платье женское повседневное,314 637,,,,(ID) 69 - Платье,856,856,856,856,856,
нижнее белье,314 621,,,,(ID) 133 - Трусы,4609,4609,4609,4609,4609,
летнее платье,314 103
воск для депиляции,312 968,,,,(ID) 1248 - Воск для депиляции,1943,1943,1943,1943,1943,
покрывало на кровать,312 650,,,,(ID) 1182 - Покрывало,823,823,823,823,823,
лосины,311 601,,,,(ID) 148 - Леггинсы,1049,1049,1049,1049,1049,
платье женское праздничное,309 515,,,,(ID) 69 - Платье,1211,1211,1211,1211,1211,
пасхальный декор,308 828,,,,(ID) 3421 - Декор для выпечки,113,113,113,113,113,
люстра потолочная,308 660,,,,(ID) 1158 - Люстра,2425,2425,2425,2425,2425,
кроссовки женские белые,307 916,,,,(ID) 105 - Кроссовки,545,545,545,545,545,
мармелад,307 301,,,,(ID) 2879 - Мармелад,300,300,300,300,300,
обувь мужская,307 195
жилет женский утепленный,307 147,,,,(ID) 156 - Жилет,1303,1303,1303,1303,1303,
чайник заварочный,305 739,,,,(ID) 2144 - Чайник Заварочный,459,459,459,459,459,
гель лак для ногтей,305 580,,,,(ID) 721 - Гель-лак,465,465,465,465,465,
avon,305 163,,,,(ID) 356 - Духи,59,59,59,59,59,
блокнот,304 472,,,,(ID) 661 - Блокнот,700,700,700,700,700,
алмазная мозаика на подрамнике,303 664,,,,(ID) 6422 - Алмазная мозаика,212,212,212,212,212,
чай,303 440,,,,(ID) 406 - Чай,901,901,901,901,901,
aravia,303 411
жилетка,303 221,,,,(ID) 156 - Жилет,1187,1187,1187,1187,1187,
айфон,302 728
calvin klein,302 386
oodji,301 942
слипоны женские,301 896
колготки,301 770,,,,(ID) 213 - Колготки,351,351,351,351,351,
настольные игры,301 375,,,,(ID) 120 - Настольная игра,955,955,955,955,955,
масло для кутикулы,301 287,,,,(ID) 362 - Масло,13109,13109,13109,13109,13109,
спонж для макияжа,301 011,,,,(ID) 499 - Спонж Для Макияжа,906,906,906,906,906,
капсулы для стирки,300 953,,,,(ID) 2673 - Капсулы Для Стирки,0,0,0,0,0,
gloria jeans для девочек,300 850
корсет вечерний,299 885,,,,(ID) 74 - Корсет,563,563,563,563,563,
парные кольца,299 464,,,,(ID) 24 - Кольцо,362,362,362,362,362,
кольцо женское,299 432,,,,(ID) 54 - Ювелирное кольцо,1909,1909,1909,1909,1909,
маникюрный аппарат,299 386,,,,(ID) 3313 - Маникюрный Аппарат,1407,1407,1407,1407,1407,
сланцы женские,298 825,,,,(ID) 107 - Сланцы Женские,395,395,395,395,395,
серьги серебро,298 510,,,,(ID) 207 - Ювелирные серьги,3601,3601,3601,3601,3601,
посуда,298 354,,,,(ID) 829 - Набор столовых приборов,111,111,111,111,111,
ночник,298 313,,,,(ID) 1673 - Ночник,3031,3031,3031,3031,3031,
коллаген,298 172,,,,(ID) 1103 - Добавка для суставов и связок,1000,1000,1000,1000,1000,
чехол на iphone 14,297 932,,,,(ID) 390 - Чехол для телефона,902,902,902,902,902,
сухоцветы,297 892,,,,(ID) 4329 - Сухоцветы,233,233,233,233,233,
джинсовая куртка женская,297 794,,,,(ID) 168 - Куртка,728,728,728,728,728,
ковер,297 490,,,,(ID) 7161 - Ковер,1354,1354,1354,1354,1354,
тапочки,296 836,,,,(ID) 106 - Тапочки,1348,1348,1348,1348,1348,
балетки женские,296 471,,,,(ID) 33 - Балетки Женские,152,152,152,152,152,
asics,294 861
бейсболка,294 181
резиновые сапоги,293 514,,,,(ID) 283 - Резиновые сапоги,1403,1403,1403,1403,1403,
куртка весна женская,292 704,,,,(ID) 168 - Куртка,3769,3769,3769,3769,3769,
converse,292 690
топ спортивный,292 085,,,,(ID) 5215 - Топ спортивный,903,903,903,903,903,
колготки для девочки,291 832,,,,(ID) 213 - Колготки,1050,1050,1050,1050,1050,
топик,290 618,,,,(ID) 185 - Топ,556,556,556,556,556,
картины по номерам,289 818,,,,(ID) 4144 - Картины По Номерам,530,530,530,530,530,
вешалка напольная,289 743,,,,(ID) 1895 - Вешалка Напольная,1114,1114,1114,1114,1114,
лак для волос,289 393,,,,(ID) 1671 - Лак Для Волос,512,512,512,512,512,
сковорода,288 799,,,,(ID) 704 - Сковорода,1500,1500,1500,1500,1500,
gloria jeans девочки,288 671
рулонные шторы,287 962,,,,(ID) 1621 - Рулонные Шторы,364,364,364,364,364,
стол кухонный,287 928,,,,(ID) 7648 - Стол обеденный,431,431,431,431,431,
диван,287 899,,,,(ID) 2519 - Диван,339,339,339,339,339,
летнее платье женское,287 151,,,,(ID) 69 - Платье,969,969,969,969,969,
обувница,286 454,,,,(ID) 4341 - Обувница,1587,1587,1587,1587,1587,
кофемашина,286 176,,,,(ID) 1188 - Кофемашина,912,912,912,912,912,
книги,285 217,,,,(ID) 381 - Книга,2103,2103,2103,2103,2103,
шорты женские летние,284 954,,,,(ID) 151 - Шорты,1084,1084,1084,1084,1084,
колонка,284 275,,,,(ID) 520 - Колонка,2439,2439,2439,2439,2439,
шорты для мальчика,284 231,,,,(ID) 151 - Шорты,605,605,605,605,605,
электронная сигарета,283 541,,,,(ID) 6998 - <неизвестно>,63,63,63,63,63,
брюки карго женские,282 742,,,,(ID) 11 - Брюки,2225,2225,2225,2225,2225,
белье женское комплект,282 661,,,,(ID) 165 - Белье Женское Комплект,1108,1108,1108,1108,1108,
тапочки домашние женские,282 598,,,,(ID) 106 - Тапочки,1083,1083,1083,1083,1083,
мягкая игрушка,281 899,,,,(ID) 268 - Мягкая Игрушка,811,811,811,811,811,
crockid,281 840
пижама для девочки,281 398,,,,(ID) 162 - Пижама,983,983,983,983,983,
