Запрос,Частотность в мес.,Частотность в нед.,"Изменение мес/мес, %","Изменение нед/нед, %",Приоритетная категория,1 место,2 место,3 место,4 место,5 место,"Объем продаж категории, руб"
﻿кроссовки женские,6414114,1525299,,,,,,,,,
платье женское,5308624,1075258,,,(ID) 69 - Платье,1008,668,667,440,439,
джинсы женские,4503782,946379,,,(ID) 180 - Джинсы,1500,852,851,850,850,
футболка женская,4051510,963668,,,(ID) 192 - Футболка Женская,401,253,251,220,219,
куртка женская весна,3935593,543122,,,(ID) 168 - Куртка,1003,1002,1002,1002,1002,
