Запрос,Частотность в мес.,Частотность в нед.,"Изменение мес/мес, %","Изменение нед/нед, %",Приоритетная категория,1 место,2 место,3 место,4 место,5 место,"Объем продаж категории, руб"
наушники,837 524,179 323
шторы,833 653,197 613,,,(ID) 451 - Шторы интерьерные,1930,1000,951,609,608,
свитшот женский,832 375,167 957,,,(ID) 159 - Свитшот,369,367,269,261,260,
трусы мужские,826 222,184 118,,,(ID) 133 - Трусы Мужские,1122,1112,781,777,777,
платье вечернее,808 132,172 367,,,(ID) 69 - Платье,1008,506,504,504,502,
боди,806 526,160 927,,,(ID) 75 - Боди,378,170,150,141,140,
куртка,806 520,129 742,,,(ID) 2110 - Косуха,201,122,98,89,71,
свитшот,806 417,162 087,,,(ID) 159 - Свитшот,288,262,260,257,255,
телефон,804 319,173 765,,,(ID) 515 - Смартфон,420,419,400,400,400,
xiaomi,800 400,171 848
косметичка,800 382,152 445,,,(ID) 305 - Косметичка,400,277,277,275,264,
сумка через плечо,793 569,212 887,,,(ID) 50 - Сумка,520,510,402,401,387,
спортивный костюм мужской,791 247,173 274,,,(ID) 4853 - Спортивный Костюм Мужской,616,614,612,602,600,
брюки,789 489,158 689,,,(ID) 11 - Брюки,900,799,600,600,481,
пальто,782 998,95 590,,,(ID) 170 - Пальто,1142,1140,1011,1000,900,
обувь женская,774 764,169 534,,,(ID) 105 - Кроссовки,500,400,400,350,226,
платье женское летнее,767 657,188 583,,,(ID) 69 - Платье,403,401,400,400,399,
постельное белье 2 спальное,765 989,170 935,,,(ID) 197 - Постельное белье,516,514,406,336,334,
носки,765 482,165 362,,,(ID) 212 - Носки,4004,851,851,499,461,
ботинки женские,760 860,106 096,,,(ID) 94 - Ботинки Женские,1551,506,504,503,501,
лоферы,755 711,176 880,,,(ID) 1664 - Лоферы,561,452,407,406,406,
халат женский,755 425,138 781,,,(ID) 2803 - Халат домашний,1102,957,956,787,636,
тренч женский,742 377,154 650,,,(ID) 193 - Тренчкот,1400,1056,1055,780,753,
кроссовки для девочки,741 396,209 058,,,(ID) 105 - Кроссовки,514,513,501,492,491,
шампунь для волос,738 004,155 993,,,(ID) 358 - Шампунь,0,0,0,56099,1507,
zara женское,737 519,147 789
алмазная мозаика,735 388,141 334,,,(ID) 6422 - Алмазная Мозаика,201,200,151,150,124,
нижнее белье женское комплект,733 430,149 096,,,(ID) 165 - Комплект белья,936,935,871,870,704,
пижама,733 395,140 441,,,(ID) 162 - Пижама,1993,814,801,801,752,
худи женское,733 103,161 801,,,(ID) 1724 - Худи,598,429,429,427,365,
рюкзак,732 913,151 319,,,(ID) 138 - Рюкзак,1522,1350,1200,988,987,
лампа для маникюра,731 934,59 927,,,(ID) 805 - Лампа Для Маникюра,126,121,120,88,66,
шорты мужские,731 841,183 030,,,(ID) 151 - Шорты,1149,662,660,659,603,
спортивные штаны женские,720 876,161 802,,,(ID) 5204 - Брюки спортивные,303,231,230,221,150,
бюстгальтер женский,713 696,147 295,,,(ID) 76 - Бюстгальтер,626,625,625,624,624,
носки мужские,712 638,166 591
кроссовки nike,707 026,154 461
майка женская,706 125,157 444,,,(ID) 131 - Майка бельевая,180,167,131,120,116,
свитер женский,694 331,107 833,,,(ID) 163 - Свитер,926,925,923,751,725,
